WBANNO,LST_YRMO,CRX_VN_MONTHLY,PRECISE_LONGITUDE,PRECISE_LATITUDE,T_MONTHLY_MAX,T_MONTHLY_MIN,T_MONTHLY_MEAN,T_MONTHLY_AVG,P_MONTHLY_CALC,SOLRAD_MONTHLY_AVG,SUR_TEMP_MONTHLY_TYPE,SUR_TEMP_MONTHLY_MAX,SUR_TEMP_MONTHLY_MIN,SUR_TEMP_MONTHLY_AVG
3047,20240101,2.622,-102.81,31.62,11.8,-1.2,5.3,5.3,0,12.51,C,17.5,-3.2,5.6
3047,20240102,2.622,-102.81,31.62,10.5,2.4,6.4,5.5,0,7.16,C,16.8,0.7,5.9
3047,20240103,2.622,-102.81,31.62,13.8,-3.4,5.2,5,0,12.69,C,19.7,-4.4,5.1
3047,20240104,2.622,-102.81,31.62,8.3,1.2,4.7,5.3,0.6,2.56,C,10.1,-1.2,4.5
3047,20240105,2.622,-102.81,31.62,14.4,-1.1,6.6,6.6,0,12.54,C,16.1,-3.6,4.2
3047,20240106,2.622,-102.81,31.62,12.8,-2.4,5.2,4.9,0,12.57,C,16.5,-3.9,4
3047,20240107,2.622,-102.81,31.62,17.6,-3.1,7.2,7.6,0,12.97,C,18.3,-5.4,5.7
3047,20240108,2.622,-102.81,31.62,11.5,-1,5.2,6.6,0,9.48,C,11.8,-3.5,5.2
3047,20240109,2.622,-102.81,31.62,12.3,-5.2,3.5,3.8,0,13.28,C,15.3,-7.1,2.6
3047,20240110,2.622,-102.81,31.62,19.9,-1.9,9,8.9,0,13.31,C,21,-4.4,6.5
3047,20240111,2.622,-102.81,31.62,21.1,-0.3,10.4,10.7,0,12.79,C,21.8,-3,9
3047,20240112,2.622,-102.81,31.62,14.8,-0.9,7,7.4,0,12.72,C,17.1,-2.8,6.4
3047,20240113,2.622,-102.81,31.62,20.4,-3.4,8.5,7.9,0,11.72,C,22.9,-4.4,6.4
3047,20240114,2.622,-102.81,31.62,0.2,-9.2,-4.5,-5.5,0,12.39,C,6.5,-9.2,-3.8
3047,20240115,2.622,-102.81,31.62,4.3,-11.8,-3.7,-5.7,0,13.42,C,10.5,-12.2,-3.6
3047,20240116,2.622,-102.81,31.62,-0.1,-12.5,-6.3,-6.3,0,13.54,C,8,-13.5,-4.4
3047,20240117,2.622,-102.81,31.62,15.2,-7.2,4,2.4,0,13.72,C,18.2,-9.1,2.2
3047,20240118,2.622,-102.81,31.62,24.8,1,12.9,12.8,0,13.39,C,27.4,-1.1,10.9
3047,20240119,2.622,-102.81,31.62,10.3,-4,3.1,1.3,0,13.41,C,12.2,-5.2,2.2
3047,20240120,2.622,-102.81,31.62,5.5,-6.8,-0.7,-0.5,0,12.22,C,10.3,-8,0.1
3047,20240121,2.622,-102.81,31.62,6.5,-0.1,3.2,2.6,0,5.22,C,8.9,-1.3,3
3047,20240122,2.622,-102.81,31.62,17.3,-1.1,8.1,7.7,0,12.14,C,23.2,-2.7,8.4
3047,20240123,2.622,-102.81,31.62,18.9,7.1,13,11.9,10.2,10.41,C,26,3.7,12.1
3047,20240124,2.622,-102.81,31.62,16.7,5.5,11.1,10.3,0,12.46,C,18.2,3.6,10
3047,20240125,2.622,-102.81,31.62,18,1.7,9.8,10.1,0,12.31,C,18.5,0.5,8
3047,20240126,2.622,-102.81,31.62,16.9,5.9,11.4,10.4,0,10.41,C,20,3.3,9.2
